objID,RA,DEC,PGC,HUBBLE,TYPE
1237646010559102996,29.2285,-0.6402778,PGC  7321,,-99.0
1237646010560020593,31.418,-0.6948333,PGC  7979,.S..6*.,6.0
1237646010560610380,32.7765,-0.6557778,PGC  8356,,-99.0
1237646010560741499,33.0820417,-0.8115278,PGC  8439,PSBR1*.,1.0
1237646010560872519,33.4098333,-0.7173056,PGC  8526,PSAT0*.,0.3
1237646010561003567,33.6398442,-0.766693,PGC  8586,.SAS1*.,1.3
1237646010561134667,33.9936667,-0.7135833,PGC  8659,.L..-*.,-3.0
1237646010561855590,35.6251,-0.617547,PGC  9028,.S..7*/,7.3
1237646010563362938,39.05825,-0.69775,PGC  9880,.S..6*.,6.0
1237646010564739116,42.2116667,-0.7673889,PGC 10647,RSBR2*.,2.3
1237646010565066767,42.8963333,-0.7337778,PGC 10843,.S..1*.,1.0
1237646010566115409,45.2635833,-0.7433056,PGC 11397,.S..8*.,8.0
1237646010566705254,46.7184167,-0.7944722,PGC 11670,RSBR0..,0.0
1237646010572669010,60.260458,-0.717694,PGC 14288,.SBT8?.,8.3
1237646010574766187,65.073667,-0.692722,PGC 14907,.LXR+?.,-1.0
1237646010575159347,65.995167,-0.826917,PGC 15027,.S..3..,3.0
1237646010575224894,66.105583,-0.746222,PGC 15042,.L..+P?,-1.3
1237646010575224991,66.1609167,-0.7598361,PGC 15051,CI..9??,10.0
1237646010578829353,74.288859,-0.827056,PGC 16392,,-99.0
1237646011084898331,3.9927083,-0.3035,PGC  1058,.SAR6P.,6.0
1237646011086274639,7.0855417,-0.2178611,PGC  1747,.SB.3..,3.0
1237646011086536758,7.800375,-0.4073611,PGC  1905,.L?....,-99.0
1237646011087585418,10.1577083,-0.3306667,PGC  2440,.S..3..,3.0
1237646011090862180,17.659375,-0.2780556,PGC  4195,.S?....,-99.0
1237646011091124247,18.2025417,-0.2901944,PGC  4363,.E+....,-4.0
1237646011091124327,18.23925,-0.3449722,PGC  4368,.L..0*/,-1.7
1237646011091124350,18.24975,-0.252444,PGC  4376,.E...*.,-5.0
1237646011091910781,20.0284583,-0.2053611,PGC  4805,.S..8*.,8.0
1237646011091910793,20.0639583,-0.3358333,PGC  4812,.S..4..,4.0
1237646011092238377,20.807125,-0.3853056,PGC  5056,.S..6*.,6.0
1237646011094663236,26.263667,-0.3,PGC  6419,.SB?...,-99.0
1237646011096301604,30.0202917,-0.2791389,PGC  7574,.S..2..,2.0
1237646011096956958,31.566625,-0.2914444,PGC  8029,.L.....,-2.0
1237646011098464259,34.921375,-0.2556667,PGC  8876,PSXS3P.,2.5
1237646011099119703,36.5279583,-0.3319167,PGC  9256,.SBT4*.,4.0
1237646011099316242,36.8872083,-0.2445278,PGC  9352,.LX.-..,-2.5
1237646011101413384,41.641333,-0.247083,PGC 10507,.SBT4..,4.0
1237646011101478978,41.8659583,-0.2851111,PGC 10559,.SXS2..,2.0
1237646011101610011,42.1612083,-0.2715,PGC 10634,PSBT0..,0.3
1237646011102527611,44.2989583,-0.2230556,PGC 11154,.SX.8*.,8.0
1237646011102593049,44.3494583,-0.3093889,PGC 11170,.L..-*.,-3.0
1237646011104165929,47.947792,-0.402972,PGC 11912,.SBR3*.,3.3
1237646011104231476,48.1905,-0.333083,PGC 11966,.SB.0*.,0.0
1237646011104362528,48.438375,-0.2414444,PGC 12017,RSBR1P?,1.0
1237646011105149044,50.245417,-0.367611,PGC 12560,.SAS5*.,5.3
1237646011105738789,51.560417,-0.203014,PGC 12835,,-99.0
1237646011112620289,67.33818,-0.20685,PGC 22291,,-99.0
1237646011112751214,67.659292,-0.304167,PGC 15331,.SBS4..,4.0
1237646011113537932,69.40725,-0.293194,PGC 15673,.S..8*.,8.0
1237646011115962443,74.894292,-0.260417,PGC 16501,.S..1*/,1.0
1237646011116486924,76.079126,-0.412321,PGC 16666,.S..2..,2.0
1237646011616788505,352.6334583,0.0810278,PGC 71625,.L..+..,-0.5
1237646011616788617,352.6069583,0.1566944,PGC 71611,.SAT7*.,6.5
1237646011617312832,353.807416,0.042437,PGC 71818,.SBS7P*,7.0
1237646011628912713,20.338842,0.090386,PGC  4916,.S?....,-99.0
1237646011629371501,21.414,0.1304167,PGC  5291,.I..9..,10.0
1237646011630223457,23.280833,0.176111,PGC  5776,.S..9..,9.0
1237646011633041481,29.797279,0.109781,PGC  7511,,-99.0
1237646011638677579,42.570242,0.091994,PGC 10761,.SBR3..,3.0
1237646011639791677,45.167525,0.020461,PGC 11375,.S..8*/,8.0
1237646011642216514,50.6967917,0.1493611,PGC 12655,.SX.6..,6.0
1237646011642413112,51.0941667,0.1135278,PGC 12733,.S..8*.,8.0
1237646011650539602,69.684708,0.1905,PGC 15714,,-99.0
1237646011651457274,71.760667,0.066556,PGC 15998,.SXS9..,9.0
1237646011651588208,72.094792,0.224222,PGC 16049,.E?....,-99.0
1237646012155101255,356.0085,0.516722,PGC 72247,.SBT3..,3.0
1237646012156477450,359.0325833,0.5495,PGC 72930,PSBT0*.,0.0
1237646012157919309,2.3314583,0.5992222,PGC   670,.S..3..,3.0
1237646012163293230,14.7035833,0.5872222,PGC  3512,.S?....,-99.0
1237646012165062895,18.74,0.4308056,PGC  4500,.E...*.,-5.0
1237646012166176819,21.26225,0.4443611,PGC  5238,.S?....,-99.0
1237646012166373592,21.621987,0.548744,PGC  5366,.I..9*.,10.0
1237646012169846855,29.6705417,0.5292222,PGC  7465,.SBR4*.,4.0
1237646012169912337,29.6705417,0.5292222,PGC  7465,.SBR4*.,4.0
1237646012169912430,29.7179167,0.5683056,PGC  7484,.L?....,-99.0
1237646012172337158,35.222605,0.556814,PGC  8929,.S..0..,0.0
1237646012173058228,36.9643333,0.5015278,PGC  9376,.S..4*/,4.3
1237646012173582407,38.1637083,0.6173333,PGC  9680,.S?....,-99.0
1237646012174565425,40.438458,0.443167,PGC 10208,.SB.3*/,3.0
